sample	status	battery_c
1	0	312
2	0	312
3	0	308
4	0	307
5	0	307
6	0	307
7	0	308
8	0	308
9	0	309
10	0	310
11	0	312
12	0	312
13	0	314
14	0	316
15	0	319
16	0	319
17	0	320
18	0	322
19	0	322
20	0	324
21	0	324
22	0	325
23	0	325
24	0	327
25	0	328
26	0	329
27	0	329
28	0	330
29	0	331
30	0	331
31	0	331
32	0	333
33	0	333
34	0	333
35	0	333
36	0	333
37	0	333
38	0	333
39	0	336
40	0	336
41	0	336
42	0	336
43	0	336
44	0	336
45	0	338
46	0	338
47	0	338
48	0	338
49	0	338
50	0	339
51	0	339
52	0	339
53	0	339
54	0	339
55	0	340
56	0	340
57	0	340
58	0	340
59	0	340
60	0	340
61	0	340
62	0	341
63	0	341
64	0	341
65	0	341
66	0	341
67	0	341
68	0	342
69	0	342
70	0	341
71	0	341
72	0	340
73	0	339
74	0	337
75	0	337
76	0	335
77	0	334
78	0	334
79	0	332
80	0	331
81	0	330
82	0	329
83	0	328
84	0	327
85	0	326
86	0	325
87	0	324
88	0	324
89	0	324
90	0	322
91	0	322
92	0	321
93	0	321
94	0	321
95	0	319
96	0	317
97	0	316
98	0	316
99	0	316
100	0	316
101	0	312
102	0	312
103	0	303
104	0	303
105	0	303
106	0	303
107	0	291
108	0	291
109	0	283
110	0	281
